loc_start;loc_end;time
LOC657;LOC991;87
LOC876;LOC521;91
LOC786;LOC849;26
LOC379;LOC463;80
LOC129;LOC390;1
LOC509;LOC528;45
LOC670;LOC590;68
LOC889;LOC268;71
LOC122;LOC931;28
LOC427;LOC751;43
LOC458;LOC797;42
LOC141;LOC87;51
LOC60;LOC670;74
LOC67;LOC95;63
LOC462;LOC425;80
LOC412;LOC602;84
LOC346;LOC445;32
LOC823;LOC569;95
LOC154;LOC485;52
LOC53;LOC439;88
LOC568;LOC866;19
LOC979;LOC39;24
LOC29;LOC520;29
LOC284;LOC919;90
LOC607;LOC904;15
LOC629;LOC608;52
LOC420;LOC292;8
LOC978;LOC262;42
LOC915;LOC817;46
LOC650;LOC708;12
LOC595;LOC899;35
LOC921;LOC702;1
LOC777;LOC357;75
LOC121;LOC106;52
LOC277;LOC41;73
LOC604;LOC994;98
LOC317;LOC780;14
LOC465;LOC100;90
LOC878;LOC783;92
LOC961;LOC90;39
LOC504;LOC18;63
LOC498;LOC515;3
LOC795;LOC776;91
LOC968;LOC384;7
LOC781;LOC638;72
LOC522;LOC993;5
LOC750;LOC790;67
LOC29;LOC97;7
LOC506;LOC223;83
LOC190;LOC395;48
LOC593;LOC714;55
LOC183;LOC631;57
LOC6;LOC937;29
LOC491;LOC740;23
LOC438;LOC45;100
LOC323;LOC584;74
LOC899;LOC741;5
LOC463;LOC812;96
LOC13;LOC624;81
LOC574;LOC852;75
LOC621;LOC943;4
LOC110;LOC324;26
LOC323;LOC42;12
LOC989;LOC142;84
LOC351;LOC915;31
LOC592;LOC504;57
LOC494;LOC216;56
LOC987;LOC81;89
LOC283;LOC245;19
LOC438;LOC663;8
LOC48;LOC861;15
LOC832;LOC28;26
LOC647;LOC506;47
LOC54;LOC889;77
LOC719;LOC700;9
LOC279;LOC744;22
LOC310;LOC234;27
LOC443;LOC393;78
LOC76;LOC517;62
LOC798;LOC580;57
LOC400;LOC707;66
LOC945;LOC387;85
LOC26;LOC25;95
LOC219;LOC902;17
LOC694;LOC459;40
LOC902;LOC641;9
LOC179;LOC992;85
LOC263;LOC429;72
LOC392;LOC858;61
LOC629;LOC153;76
LOC106;LOC420;98
LOC757;LOC697;26
LOC550;LOC968;68
LOC798;LOC983;86
LOC611;LOC464;56
LOC908;LOC977;7
LOC338;LOC901;68
LOC731;LOC464;41
LOC759;LOC476;3
LOC440;LOC621;56
LOC612;LOC804;19
LOC775;LOC217;11
LOC131;LOC765;81
LOC418;LOC756;90
LOC695;LOC325;86
LOC755;LOC192;2
LOC537;LOC813;37
LOC420;LOC291;89
LOC666;LOC116;27
LOC374;LOC341;77
LOC452;LOC999;32
LOC698;LOC858;38
LOC914;LOC333;15
LOC632;LOC643;36
LOC509;LOC798;64
LOC926;LOC343;79
LOC780;LOC321;41
LOC878;LOC705;97
LOC960;LOC178;65
LOC960;LOC590;45
LOC172;LOC483;11
LOC808;LOC756;76
LOC818;LOC56;74
LOC386;LOC335;30
LOC552;LOC814;56
LOC221;LOC592;69
LOC607;LOC212;69
LOC378;LOC665;78
LOC823;LOC279;93
LOC957;LOC770;81
LOC190;LOC423;5
LOC695;LOC105;51
LOC226;LOC341;86
LOC227;LOC845;16
LOC139;LOC496;72
LOC587;LOC419;100
LOC607;LOC457;59
LOC888;LOC680;85
LOC613;LOC970;12
LOC181;LOC44;12
LOC827;LOC824;13
LOC857;LOC576;49
LOC41;LOC313;77
LOC716;LOC825;22
LOC153;LOC813;45
LOC503;LOC462;94
LOC557;LOC220;2
LOC790;LOC424;53
LOC772;LOC834;8
LOC794;LOC569;13
LOC603;LOC392;79
LOC468;LOC292;31
LOC745;LOC665;34
LOC173;LOC989;96
LOC488;LOC18;19
LOC119;LOC781;16
LOC335;LOC62;33
LOC288;LOC681;45
LOC987;LOC67;54
LOC502;LOC526;65
LOC203;LOC117;10
LOC820;LOC106;89
LOC70;LOC883;62
LOC801;LOC165;56
LOC583;LOC271;55
LOC969;LOC81;54
LOC493;LOC48;52
LOC847;LOC94;65
LOC613;LOC874;61
LOC686;LOC630;8
LOC578;LOC561;97
LOC492;LOC348;92
LOC330;LOC857;99
LOC2;LOC758;3
LOC356;LOC184;51
LOC447;LOC648;43
LOC324;LOC82;17
LOC863;LOC622;85
LOC203;LOC905;13
LOC977;LOC665;91
LOC553;LOC436;46
LOC71;LOC360;7
LOC379;LOC549;92
LOC363;LOC661;5
LOC97;LOC479;54
LOC886;LOC130;59
LOC700;LOC347;2
LOC123;LOC451;19
LOC929;LOC152;52
LOC988;LOC254;92
LOC817;LOC286;48
LOC401;LOC672;69
LOC734;LOC627;57
LOC436;LOC138;68
LOC91;LOC951;5
LOC989;LOC605;9
LOC771;LOC482;98
LOC932;LOC582;25
LOC117;LOC456;13
LOC17;LOC938;49
LOC917;LOC642;72
LOC782;LOC449;14
LOC754;LOC496;60
LOC908;LOC629;40
LOC640;LOC749;74
LOC240;LOC680;57
LOC210;LOC583;35
LOC303;LOC247;27
LOC817;LOC437;66
LOC661;LOC338;17
LOC111;LOC682;67
LOC980;LOC56;20
LOC122;LOC332;34
LOC671;LOC170;49
LOC8;LOC923;27
LOC238;LOC329;81
LOC271;LOC846;46
LOC548;LOC175;76
LOC771;LOC780;22
LOC377;LOC477;1
LOC40;LOC12;33
LOC312;LOC909;79
LOC810;LOC968;95
LOC78;LOC643;90
LOC130;LOC345;28
LOC490;LOC373;85
LOC949;LOC808;94
LOC259;LOC177;97
LOC135;LOC827;99
LOC534;LOC905;13
LOC544;LOC769;100
LOC936;LOC178;59
LOC57;LOC444;93
LOC500;LOC146;20
LOC440;LOC151;46
LOC727;LOC513;38
LOC432;LOC371;80
LOC734;LOC342;8
LOC874;LOC957;73
LOC488;LOC320;56
LOC320;LOC693;47
LOC775;LOC832;71
LOC251;LOC176;25
LOC275;LOC50;15
LOC395;LOC420;89
LOC314;LOC597;4
LOC912;LOC579;20
LOC350;LOC668;20
LOC909;LOC338;66
LOC457;LOC135;29
LOC660;LOC512;74
LOC156;LOC530;98
LOC923;LOC386;98
LOC432;LOC272;67
LOC7;LOC365;48
LOC667;LOC765;81
LOC96;LOC731;27
LOC513;LOC780;38
LOC525;LOC910;73
LOC133;LOC472;64
LOC978;LOC69;9
LOC690;LOC905;8
LOC797;LOC46;76
LOC361;LOC63;60
LOC594;LOC484;89
LOC489;LOC638;26
LOC189;LOC832;30
LOC467;LOC56;23
LOC612;LOC360;11
LOC803;LOC685;4
LOC296;LOC597;5
LOC982;LOC599;41
LOC646;LOC486;44
LOC552;LOC662;61
LOC317;LOC116;97
LOC756;LOC969;23
LOC26;LOC774;61
LOC336;LOC850;62
LOC712;LOC103;50
LOC692;LOC318;2
LOC725;LOC980;35
LOC834;LOC676;98
LOC874;LOC832;58
LOC626;LOC307;10
LOC700;LOC375;61
LOC640;LOC826;7
LOC255;LOC474;28
LOC689;LOC749;43
LOC502;LOC524;7
LOC578;LOC224;87
LOC315;LOC220;46
LOC918;LOC876;93
LOC195;LOC975;34
LOC73;LOC463;22
LOC719;LOC501;55
LOC459;LOC197;71
LOC200;LOC999;54
LOC307;LOC730;72
LOC429;LOC770;28
LOC115;LOC456;10
LOC685;LOC473;70
LOC721;LOC415;1
LOC265;LOC882;18
LOC468;LOC655;73
LOC476;LOC172;91
LOC195;LOC679;51
LOC692;LOC659;54
LOC970;LOC332;53
LOC593;LOC586;13
LOC989;LOC353;6
LOC308;LOC32;53
LOC410;LOC135;77
LOC977;LOC519;68
LOC328;LOC230;51
LOC935;LOC162;4
LOC761;LOC194;33
LOC123;LOC9;16
LOC822;LOC577;100
LOC561;LOC490;80
LOC238;LOC482;100
LOC666;LOC25;10
LOC486;LOC149;98
LOC282;LOC742;29
LOC251;LOC494;96
LOC700;LOC547;71
LOC157;LOC408;98
LOC17;LOC542;84
LOC233;LOC565;36
LOC724;LOC620;45
LOC314;LOC528;30
LOC636;LOC967;53
LOC875;LOC833;97
LOC657;LOC477;24
LOC377;LOC730;70
LOC29;LOC358;37
LOC189;LOC370;65
LOC810;LOC551;90
LOC488;LOC145;97
LOC729;LOC602;77
LOC861;LOC775;20
LOC230;LOC404;99
LOC388;LOC264;19
LOC940;LOC233;5
LOC28;LOC602;3
LOC801;LOC543;79
LOC554;LOC258;47
LOC50;LOC723;95
LOC125;LOC732;63
LOC478;LOC145;13
LOC588;LOC951;69
LOC847;LOC326;52
LOC831;LOC497;27
LOC697;LOC516;50
LOC646;LOC234;79
LOC332;LOC967;29
LOC784;LOC161;21
LOC574;LOC79;52
LOC666;LOC869;71
LOC211;LOC162;54
LOC323;LOC834;29
LOC635;LOC848;16
LOC299;LOC196;19
LOC112;LOC333;43
LOC227;LOC909;4
LOC613;LOC591;27
LOC220;LOC200;2
LOC474;LOC210;73
LOC650;LOC670;10
LOC46;LOC183;71
LOC897;LOC532;33
LOC40;LOC324;14
LOC362;LOC452;27
LOC652;LOC145;31
LOC328;LOC596;10
LOC158;LOC487;38
LOC969;LOC3;50
LOC610;LOC550;48
LOC980;LOC739;91
LOC239;LOC900;84
LOC903;LOC329;88
LOC940;LOC12;15
LOC139;LOC908;85
LOC360;LOC950;81
LOC752;LOC731;20
LOC267;LOC660;1
LOC116;LOC35;9
LOC2;LOC886;97
LOC147;LOC841;18
LOC289;LOC450;34
LOC760;LOC572;91
LOC379;LOC604;19
LOC495;LOC89;83
LOC624;LOC690;43
LOC665;LOC401;70
LOC283;LOC690;73
LOC360;LOC89;73
LOC156;LOC362;4
LOC573;LOC268;63
LOC307;LOC466;92
LOC918;LOC978;56
LOC714;LOC689;41
LOC833;LOC738;62
LOC864;LOC840;71
LOC894;LOC871;80
LOC49;LOC279;100
LOC130;LOC627;27
LOC429;LOC665;14
LOC112;LOC844;69
LOC128;LOC510;93
LOC665;LOC882;85
LOC541;LOC817;91
LOC658;LOC215;62
LOC862;LOC689;43
LOC571;LOC839;52
LOC942;LOC458;12
LOC871;LOC781;61
LOC759;LOC475;99
LOC680;LOC745;71
LOC298;LOC996;25
LOC160;LOC679;71
LOC245;LOC793;86
LOC50;LOC875;53
LOC839;LOC490;67
LOC296;LOC718;86
LOC708;LOC481;74
LOC478;LOC283;49
LOC774;LOC487;14
LOC72;LOC645;79
LOC165;LOC6;62
LOC674;LOC116;20
LOC936;LOC270;46
LOC320;LOC70;16
LOC220;LOC32;47
LOC969;LOC465;85
LOC464;LOC870;81
LOC258;LOC879;24
LOC450;LOC4;74
LOC337;LOC456;52
LOC50;LOC980;89
LOC612;LOC992;42
LOC338;LOC114;21
LOC53;LOC392;65
LOC611;LOC159;88
LOC160;LOC914;48
LOC710;LOC322;68
LOC521;LOC693;37
LOC135;LOC514;68
LOC667;LOC975;72
LOC762;LOC548;27
LOC44;LOC400;60
LOC270;LOC32;96
LOC530;LOC23;5
LOC824;LOC371;68
LOC921;LOC908;74
LOC682;LOC26;8
LOC113;LOC700;79
LOC68;LOC336;85
LOC302;LOC842;69
LOC217;LOC133;44
LOC197;LOC330;51
LOC260;LOC154;32
LOC837;LOC660;64
LOC762;LOC257;1
LOC681;LOC593;89
LOC963;LOC306;4
LOC107;LOC542;10
LOC647;LOC349;57
LOC930;LOC517;76
LOC155;LOC418;67
LOC208;LOC450;49
LOC225;LOC309;36
LOC492;LOC865;72
LOC92;LOC626;72
LOC697;LOC74;86
LOC440;LOC670;58
LOC571;LOC726;89
LOC67;LOC541;68
LOC518;LOC11;55
LOC47;LOC953;22
LOC739;LOC169;66
LOC312;LOC91;97
LOC796;LOC710;97
LOC470;LOC283;35
LOC199;LOC750;72
LOC557;LOC451;7
LOC226;LOC200;95
LOC597;LOC868;81
LOC16;LOC100;11
LOC29;LOC34;77
LOC349;LOC818;30
LOC625;LOC508;83
LOC5;LOC908;82
LOC298;LOC411;97
LOC484;LOC137;22
LOC480;LOC830;85
LOC120;LOC765;84
LOC678;LOC974;98
LOC815;LOC608;1
LOC374;LOC675;79
LOC163;LOC197;48
LOC287;LOC161;60
LOC528;LOC6;70
LOC753;LOC781;4
LOC624;LOC68;52
LOC939;LOC930;46
LOC557;LOC548;39
LOC472;LOC950;84
LOC112;LOC990;76
LOC800;LOC483;22
LOC863;LOC516;77
LOC731;LOC497;73
LOC448;LOC532;61
LOC164;LOC212;59
LOC318;LOC745;56
LOC68;LOC980;61
LOC511;LOC545;44
LOC999;LOC235;43
LOC152;LOC238;89
LOC794;LOC866;75
LOC221;LOC877;28
LOC181;LOC946;63
LOC379;LOC701;53
LOC802;LOC840;49
LOC633;LOC736;64
LOC435;LOC151;100
LOC298;LOC318;74
LOC303;LOC55;53
LOC876;LOC741;98
LOC947;LOC603;53
LOC922;LOC472;66
LOC86;LOC295;85
LOC876;LOC770;94
LOC354;LOC587;19
LOC681;LOC716;46
LOC284;LOC619;6
LOC287;LOC792;74
LOC321;LOC236;78
LOC463;LOC691;84
LOC427;LOC512;36
LOC14;LOC803;5
LOC884;LOC1;44
LOC115;LOC243;5
LOC521;LOC491;7
LOC398;LOC733;83
LOC13;LOC703;92
LOC976;LOC538;47
LOC327;LOC1;22
LOC17;LOC598;43
LOC33;LOC980;96
LOC937;LOC509;25
LOC462;LOC946;97
LOC156;LOC891;44
LOC647;LOC7;93
LOC483;LOC826;58
LOC932;LOC465;53
LOC524;LOC559;90
LOC341;LOC58;56
LOC303;LOC431;5
LOC632;LOC719;32
LOC394;LOC245;11
LOC238;LOC912;77
LOC749;LOC252;14
LOC301;LOC216;79
LOC805;LOC827;39
LOC769;LOC198;84
LOC224;LOC675;41
LOC581;LOC175;24
LOC918;LOC857;47
LOC304;LOC823;51
LOC517;LOC429;62
LOC523;LOC422;84
LOC85;LOC880;87
LOC348;LOC10;66
LOC216;LOC880;82
LOC36;LOC88;45
LOC766;LOC313;94
LOC288;LOC773;49
LOC457;LOC592;19
LOC135;LOC354;55
LOC997;LOC110;47
LOC670;LOC255;55
LOC883;LOC836;83
LOC729;LOC838;55
LOC113;LOC702;42
LOC849;LOC32;80
LOC142;LOC867;38
LOC849;LOC607;96
LOC533;LOC322;28
LOC822;LOC268;56
LOC25;LOC728;81
LOC927;LOC354;34
LOC833;LOC47;52
LOC671;LOC215;18
LOC227;LOC580;12
LOC143;LOC676;59
LOC31;LOC558;48
LOC563;LOC177;93
LOC57;LOC760;9
LOC668;LOC64;78
LOC350;LOC42;37
LOC420;LOC145;75
LOC207;LOC241;84
LOC864;LOC502;12
LOC54;LOC733;82
LOC475;LOC384;89
LOC40;LOC984;71
LOC577;LOC246;22
LOC804;LOC165;25
LOC922;LOC584;40
LOC3;LOC469;32
LOC752;LOC331;38
LOC799;LOC481;3
LOC29;LOC879;8
LOC637;LOC636;62
LOC355;LOC539;65
LOC570;LOC501;45
LOC800;LOC959;74
LOC664;LOC168;23
LOC24;LOC707;54
LOC27;LOC732;11
LOC157;LOC121;69
LOC300;LOC351;50
LOC863;LOC444;44
LOC132;LOC344;5
LOC317;LOC501;42
LOC683;LOC940;62
LOC79;LOC622;62
LOC456;LOC644;89
LOC433;LOC740;29
LOC360;LOC972;98
LOC915;LOC257;24
LOC905;LOC380;88
LOC868;LOC740;59
LOC12;LOC939;100
LOC328;LOC535;10
LOC350;LOC556;76
LOC550;LOC73;75
LOC230;LOC86;69
LOC811;LOC135;84
LOC633;LOC358;7
LOC85;LOC365;89
LOC281;LOC333;42
LOC367;LOC427;9
LOC739;LOC556;48
LOC326;LOC398;69
LOC18;LOC711;47
LOC23;LOC91;9
LOC49;LOC422;100
LOC53;LOC686;90
LOC672;LOC239;3
LOC659;LOC576;30
LOC83;LOC740;91
LOC666;LOC349;17
LOC608;LOC473;95
LOC957;LOC380;25
LOC531;LOC574;32
LOC168;LOC140;40
LOC545;LOC635;27
LOC363;LOC12;38
LOC492;LOC211;87
LOC800;LOC85;10
LOC437;LOC827;97
LOC791;LOC626;10
LOC748;LOC486;45
LOC672;LOC224;90
LOC964;LOC764;23
LOC546;LOC293;32
LOC348;LOC184;54
LOC802;LOC820;3
LOC896;LOC167;5
LOC224;LOC412;80
LOC172;LOC591;64
LOC299;LOC4;2
LOC812;LOC259;51
LOC67;LOC449;23
LOC438;LOC148;75
LOC622;LOC107;52
LOC125;LOC634;61
LOC945;LOC519;48
LOC156;LOC961;63
LOC976;LOC624;12
LOC2;LOC153;40
LOC451;LOC330;58
LOC843;LOC696;67
LOC483;LOC419;24
LOC417;LOC79;70
LOC988;LOC507;27
LOC141;LOC953;49
LOC255;LOC317;84
LOC946;LOC301;15
LOC530;LOC716;21
LOC563;LOC598;6
LOC548;LOC503;45
LOC534;LOC399;20
LOC506;LOC553;64
LOC264;LOC572;28
LOC489;LOC56;21
LOC574;LOC80;90
LOC715;LOC981;66
LOC457;LOC13;64
LOC982;LOC441;32
LOC114;LOC376;48
LOC978;LOC548;22
LOC190;LOC363;16
LOC137;LOC908;97
LOC158;LOC231;91
LOC346;LOC237;24
LOC129;LOC723;51
LOC715;LOC413;77
LOC236;LOC793;16
LOC89;LOC309;34
LOC511;LOC993;12
LOC465;LOC309;64
LOC719;LOC129;29
LOC736;LOC678;88
LOC818;LOC370;45
LOC918;LOC977;71
LOC170;LOC871;53
LOC9;LOC608;12
LOC715;LOC790;52
LOC433;LOC464;98
LOC564;LOC203;81
LOC238;LOC883;22
LOC86;LOC232;93
LOC807;LOC701;60
LOC334;LOC357;94
LOC989;LOC593;11
LOC228;LOC43;69
LOC684;LOC632;53
LOC155;LOC969;52
LOC279;LOC926;5
LOC569;LOC794;35
LOC284;LOC791;55
LOC415;LOC995;46
LOC584;LOC388;10
LOC161;LOC53;95
LOC588;LOC963;73
LOC548;LOC161;56
LOC639;LOC240;89
LOC22;LOC959;49
LOC512;LOC502;17
LOC900;LOC126;14
LOC91;LOC326;79
LOC311;LOC973;79
LOC23;LOC102;2
LOC687;LOC148;19
LOC779;LOC118;33
LOC879;LOC812;24
LOC88;LOC255;48
LOC867;LOC762;2
LOC363;LOC630;32
LOC469;LOC672;62
LOC61;LOC49;41
LOC899;LOC555;17
LOC537;LOC302;57
LOC26;LOC683;53
LOC14;LOC396;92
LOC170;LOC840;13
LOC867;LOC47;38
LOC327;LOC613;44
LOC823;LOC561;84
LOC542;LOC808;81
LOC916;LOC156;36
LOC799;LOC312;35
LOC795;LOC901;40
LOC910;LOC925;3
LOC375;LOC132;58
LOC102;LOC447;94
LOC938;LOC38;65
LOC736;LOC426;70
LOC17;LOC978;58
LOC248;LOC830;27
LOC904;LOC725;5
LOC185;LOC500;16
LOC376;LOC818;15
LOC116;LOC736;69
LOC557;LOC37;68
LOC163;LOC296;64
LOC909;LOC794;82
LOC873;LOC700;16
LOC921;LOC701;15
LOC738;LOC807;92
LOC389;LOC81;91
LOC858;LOC938;58
LOC29;LOC357;72
LOC401;LOC155;76
LOC198;LOC682;4
LOC497;LOC719;31
LOC663;LOC584;20
LOC453;LOC993;25
LOC52;LOC857;52
LOC359;LOC274;59
LOC530;LOC50;24
LOC96;LOC581;3
LOC216;LOC609;11
LOC562;LOC690;88
LOC784;LOC352;40
LOC108;LOC633;81
LOC259;LOC953;17
LOC612;LOC650;34
LOC893;LOC719;28
LOC396;LOC453;35
LOC438;LOC309;73
LOC293;LOC559;42
LOC185;LOC841;5
LOC591;LOC220;25
LOC668;LOC166;57
LOC3;LOC910;81
LOC561;LOC857;62
LOC345;LOC584;61
LOC859;LOC387;62
LOC191;LOC740;75
LOC81;LOC926;73
LOC471;LOC429;7
LOC37;LOC144;58
LOC353;LOC290;90
LOC7;LOC886;7
LOC687;LOC265;83
LOC631;LOC322;98
LOC960;LOC18;89
LOC510;LOC629;99
LOC855;LOC64;99
LOC784;LOC15;54
LOC294;LOC781;46
LOC12;LOC971;60
LOC940;LOC172;62
LOC901;LOC264;4
LOC195;LOC849;42
LOC860;LOC314;43
LOC53;LOC724;3
LOC465;LOC783;18
LOC523;LOC582;12
LOC745;LOC713;8
LOC739;LOC567;96
LOC902;LOC321;65
LOC787;LOC905;69
LOC919;LOC330;74
LOC461;LOC963;75
LOC147;LOC84;26
LOC539;LOC824;51
LOC399;LOC928;92
LOC327;LOC437;41
LOC925;LOC599;48
LOC697;LOC845;28
LOC135;LOC947;88
LOC360;LOC957;49
LOC955;LOC130;71
LOC822;LOC18;27
LOC969;LOC764;30
LOC974;LOC895;93
LOC917;LOC242;85
LOC272;LOC266;96
LOC656;LOC329;96
LOC10;LOC393;85
LOC484;LOC319;97
LOC830;LOC3;24
LOC499;LOC641;34
LOC815;LOC121;14
LOC718;LOC537;23
LOC435;LOC645;56
LOC217;LOC828;91
LOC749;LOC652;30
LOC876;LOC369;87
LOC166;LOC584;97
LOC17;LOC424;56
LOC775;LOC285;54
LOC960;LOC234;34
LOC980;LOC937;69
LOC233;LOC578;87
LOC203;LOC10;53
LOC489;LOC75;41
LOC390;LOC506;31
LOC168;LOC75;67
LOC328;LOC74;98
LOC554;LOC14;71
LOC557;LOC482;98
LOC284;LOC375;56
LOC222;LOC117;13
LOC586;LOC176;62
LOC618;LOC388;29
LOC319;LOC492;78
LOC941;LOC657;20
LOC828;LOC584;92
LOC205;LOC940;52
LOC900;LOC213;84
LOC271;LOC221;87
LOC773;LOC892;77
LOC976;LOC130;94
LOC589;LOC333;13
LOC990;LOC986;4
LOC37;LOC456;92
LOC363;LOC1;45
LOC791;LOC451;65
LOC816;LOC373;64
LOC372;LOC666;73
LOC680;LOC822;54
LOC224;LOC816;99
LOC250;LOC990;10
LOC392;LOC84;65
LOC35;LOC369;64
LOC367;LOC795;93
LOC705;LOC809;65
LOC690;LOC381;64
LOC422;LOC652;61
LOC68;LOC247;40
LOC954;LOC554;97
LOC432;LOC580;4
LOC204;LOC235;58
LOC369;LOC953;66
LOC694;LOC659;47
LOC41;LOC327;1
LOC764;LOC377;63
LOC247;LOC76;59
LOC640;LOC703;30
LOC434;LOC840;74
LOC180;LOC324;13
LOC885;LOC568;76
LOC298;LOC599;12
LOC79;LOC626;86
LOC403;LOC751;28
LOC602;LOC386;49
LOC871;LOC667;67
LOC988;LOC521;25
LOC127;LOC535;35
LOC925;LOC533;40
LOC420;LOC603;86
LOC726;LOC683;4
LOC583;LOC541;90
LOC478;LOC570;51
LOC505;LOC4;70
LOC803;LOC927;71
LOC176;LOC7;75
LOC19;LOC768;39
LOC46;LOC988;48
LOC974;LOC488;71
LOC665;LOC127;17
LOC695;LOC89;10
LOC796;LOC545;79
LOC202;LOC512;50
LOC839;LOC102;16
LOC235;LOC133;76
LOC714;LOC875;31
LOC591;LOC989;46
LOC88;LOC459;76
LOC990;LOC238;78
LOC171;LOC991;76
LOC244;LOC670;18
LOC874;LOC138;27
LOC668;LOC264;74
LOC37;LOC57;42
LOC215;LOC471;41
LOC747;LOC25;17
LOC2;LOC73;80
